poids(preliminary,1) = 3.204662511748219
poids(proposed,14) = 2.3534041630291433
poids(solution,14) = 2.285584419372145
poids(part,14) = 2.5612098352620314
poids(1,14) = 2.3354307920172426
poids(recursive,15) = 2.8622398309260126
poids(curve,15) = 2.914627900385701
poids(fitting,15) = 3.0285712526925375
poids(technique,15) = 2.226938906459371
poids(secant,16) = 4.204662511748219
poids(modification,16) = 3.090719159441382
poids(newton,16) = 3.143964671394607
poids(method,16) = 1.914627900385701
poids(programming,17) = 1.974213590369945
poids(arithmetic,17) = 2.6135979047217197
poids(operations,17) = 2.4375066456660384
poids(simple,18) = 2.3070354204577774
poids(automatic,18) = 2.464299822253975
poids(coding,18) = 2.8929086506924646
poids(systems,18) = 2.0032653874277675
poids(glossary,19) = 3.660594467397943
poids(computer,19) = 1.729718176282831
poids(engineering,19) = 3.183473212678281
poids(programming,19) = 1.974213590369945
poids(terminology,19) = 3.250420002308894
poids(accelerating,20) = 1.9678775053614124
poids(convergence,20) = 3.183473212678281
poids(iterative,20) = 2.372356317379987
poids(processes,20) = 1.547456549097248
poids(technique,20) = 1.408979635486457
poids(discussed,20) = 1.3538825704980413
poids(applied,20) = 1.5018975024707333
poids(procedure,20) = 1.4481081683924084
poids(solution,20) = 1.428528139790715
poids(equation,20) = 1.5832725505799028
poids(accelerates,20) = 2.1685641691374
poids(rate,20) = 1.6914429144177374
poids(iteration,20) = 2.4169875104670626
poids(converges,20) = 1.9091804190095187
poids(induces,20) = 2.0095237508975123
poids(diverges,20) = 2.068220837249406
poids(illustrative,20) = 1.8352308358040665
poids(example,20) = 1.5124031862860883
poids(given,20) = 1.3168660196112936
poids(algebraic,21) = 2.8335946494764825
poids(formulation,21) = 3.359564471733962
poids(flow,21) = 3.0585344760699806
poids(diagrams,21) = 3.5514499979728753
poids(unusual,22) = 3.6026025204202563
poids(applications,22) = 2.4722687519252506
poids(department,22) = 3.4265112613645754
poids(automatic,22) = 2.464299822253975
poids(implementation,22) = 2.3354307920172426
poids(computer,22) = 1.729718176282831
poids(logic,22) = 3.0143308135779274
poids(binary,23) = 2.6544341586931246
poids(truth,23) = 4.0285712526925375
poids(function,23) = 2.217890777481974
poids(operations,23) = 2.4375066456660384
poids(decimal,23) = 3.226938906459371
poids(computer,23) = 1.729718176282831
poids(extract,23) = 3.8067225030761813
poids(command,23) = 3.163269826589994
poids(improved,24) = 2.937490783345205
poids(decimal,24) = 3.226938906459371
poids(redundancy,24) = 3.464299822253975
poids(check,24) = 3.5056925074122
poids(general,25) = 2.147757660411746
poids(purpose,25) = 2.4763087297269903
poids(programming,25) = 1.974213590369945
poids(systems,25) = 2.0032653874277675
poids(subroutine,26) = 3.143964671394607
poids(method,26) = 1.914627900385701
poids(calculating,26) = 3.464299822253975
poids(logarithms,26) = 4.5056925074122
poids(note,27) = 2.6135979047217197
poids(empirical,27) = 2.9616244630619244
poids(bounds,27) = 3.125481265700594
poids(generating,27) = 2.765329817917956
poids(bessel,27) = 3.226938906459371
poids(functions,27) = 2.3354307920172426
poids(request,28) = 3.250420002308894
poids(methods,28) = 2.250420002308894
poids(programs,28) = 2.092392743330948
poids(need,29) = 2.6796177047113736
poids(algorithm,29) = 1.4286881806188498
poids(algorithm,30) = 1.4286881806188498
poids(analyzing,30) = 3.226938906459371
poids(logical,30) = 2.798122331314264
poids(statements,30) = 2.727541257028556
poids(produce,30) = 2.8429346757306257
poids(truth,30) = 4.0285712526925375
poids(function,30) = 2.217890777481974
poids(table,30) = 2.6861485718703313
poids(ibm,31) = 2.5279689021233525
poids(704,31) = 4.0285712526925375
poids(code,31) = 2.5325646538125013
poids(nundrums,31) = 4.5056925074122
poids(variable,32) = 2.7063519579586184
poids(width,32) = 4.0285712526925375
poids(tables,32) = 2.713300817913946
poids(binary,32) = 2.6544341586931246
poids(search,32) = 2.6192017822397182
poids(facility,32) = 3.0585344760699806
poids(programmed,33) = 3.0005425290922942
poids(binary,33) = 2.6544341586931246
poids(counter,33) = 3.727541257028556
poids(ibm,33) = 2.5279689021233525
poids(type,33) = 2.6135979047217197
poids(650,33) = 3.660594467397943
poids(calculator,33) = 4.5056925074122
poids(tables,34) = 2.713300817913946
poids(automatic,34) = 2.464299822253975
poids(computation,34) = 2.45261406392878
poids(machine,35) = 2.3296012483565187
poids(method,35) = 1.914627900385701
poids(square,35) = 2.914627900385701
poids(root,35) = 3.1077524987401626
poids(computation,35) = 2.45261406392878
poids(queue,36) = 3.5056925074122
poids(network,36) = 2.815496427383686
poids(simulator,36) = 3.660594467397943
poids(ibm,36) = 2.5279689021233525
poids(650,36) = 3.660594467397943
poids(burroughs,36) = 3.660594467397943
poids(220,36) = 4.0285712526925375
poids(impact,37) = 3.250420002308894
poids(computer,37) = 1.729718176282831
poids(developments,37) = 3.226938906459371
poids(proposed,38) = 2.3534041630291433
poids(interpretation,38) = 3.4265112613645754
poids(algol,38) = 2.408782494404144
poids(secant,39) = 4.204662511748219
poids(method,39) = 1.914627900385701
poids(simultaneous,39) = 3.125481265700594
poids(nonlinear,39) = 2.0216472547566218
poids(equations,39) = 2.4803866421474297
poids(procedure,39) = 1.6721622525886126
poids(solution,39) = 1.6427922096860725
poids(system,39) = 1.4007709952862004
poids(necessarily,39) = 2.1958745775526816
poids(linear,39) = 1.6992412688821659
poids(generalization,39) = 2.0538762493700813
poids(single,39) = 1.821184823645872
poids(function,39) = 1.608945388740987
poids(one,39) = 1.5128427822275246
poids(variable,39) = 1.8531759789793092
poids(given,39) = 1.4752990294169406
poids(fingers,40) = 1.3186993188556546
poids(fists,40) = 1.3186993188556546
poids(choice,40) = 1.1844155684265942
poids(decimal,40) = 2.8220409234667585
poids(binary,40) = 2.6544341586931246
poids(representation,40) = 1.2933814372221308
poids(number,40) = 1.092211892143448
poids(system,40) = 1.0728674536884002
poids(offers,40) = 1.231949999815716
poids(many,40) = 1.1214027992742948
poids(advantages,40) = 1.1675395159755115
poids(high,40) = 1.1452006807757773
poids(performance,40) = 1.2753575330399465
poids(general,40) = 1.104341605491977
poids(purpose,40) = 1.1342098845206354
poids(computer,40) = 1.1990140480771356
poids(greater,40) = 1.383227727043666
poids(simplicity,40) = 1.2145058610667239
poids(arithmetic,40) = 1.4400721558331964
poids(unit,40) = 1.1966608933263632
poids(compactness,40) = 1.2913329556134745
poids(numbers,40) = 1.3090022788051479
poids(contribute,40) = 1.2639665923712944
poids(directly,40) = 1.1740570818532456
poids(speed,40) = 1.1557546198103588
poids(less,40) = 1.3253980297777093
poids(obvious,40) = 1.2277902279465636
poids(perhaps,40) = 1.241872224308904
poids(important,40) = 1.1466907186110655
poids(way,40) = 1.1493063315719767
poids(addressing,40) = 1.389811758435383
poids(instruction,40) = 1.348114163706491
poids(formats,40) = 1.4959165921870103
poids(increase,40) = 1.1871394978245438
poids(overall,40) = 1.1966608933263632
poids(addresses,40) = 1.2240272565685433
poids(also,40) = 1.1036549565928455
poids(essential,40) = 1.4008477294087671
poids(certain,40) = 1.1235967701576328
poids(powerful,40) = 1.1831209830525389
poids(operations,40) = 1.130682422333276
poids(practical,40) = 1.152692518610125
poids(hand,40) = 1.193225569609145
poids(communicating,40) = 1.2240272565685433
poids(man,40) = 1.1871394978245438
poids(applications,40) = 1.1338426138113864
poids(requiring,40) = 1.2004238647043834
poids(processing,40) = 1.1089269517726352
poids(large,40) = 1.1147867689750823
poids(volume,40) = 1.2277902279465636
poids(inherently,40) = 1.2551565911887437
poids(input,40) = 1.126522650464124
poids(output,40) = 1.1397463235325695
poids(data,40) = 1.171095716938202
poids(time,40) = 1.1677261333533777
poids(conversion,40) = 1.3300902595243067
poids(needed,40) = 1.169294530084183
poids(purely,40) = 1.241872224308904
poids(may,40) = 1.219823148572849
poids(significant,40) = 1.1597731345823636
poids(slower,40) = 1.231949999815716
poids(adder,40) = 1.5506493186713706
poids(take,40) = 1.1871394978245438
poids(fast,40) = 1.1557546198103588
poids(addition,40) = 1.1577127723427323
poids(two,40) = 1.0960896534097382
poids(conversions,40) = 1.2479582960935052
poids(careful,40) = 1.2551565911887437
poids(review,40) = 1.2277902279465636
poids(significance,40) = 1.231949999815716
poids(supplemented,40) = 1.2753246593356853
poids(efficient,40) = 1.1253261553679448
poids(instructions,40) = 1.1772172733313557
poids(notes,41) = 3.8067225030761813
poids(computer,41) = 1.729718176282831
poids(research,41) = 2.734840495770056
poids(eastern,41) = 4.204662511748219
poids(europe,41) = 4.0285712526925375
poids(new,42) = 2.1712387562612694
poids(method,42) = 1.914627900385701
poids(computation,42) = 2.45261406392878
poids(square,42) = 2.914627900385701
poids(roots,42) = 3.0285712526925375
poids(without,42) = 2.5918786550284834
poids(using,42) = 2.0647834253469823
poids(division,42) = 2.9742135903699447
poids(technique,43) = 2.226938906459371
poids(handling,43) = 2.9036325160842376
poids(macro,43) = 3.204662511748219
poids(instructions,43) = 2.949390006644913
poids(runcible,44) = 4.5056925074122
poids(algebraic,44) = 2.8335946494764825
poids(translation,44) = 2.9616244630619244
poids(limited,44) = 2.7896891637774006
poids(computer,44) = 1.729718176282831
poids(flow,45) = 3.0585344760699806
poids(outlining,45) = 2.6023312558741094
poids(substitute,45) = 2.6023312558741094
poids(charting,45) = 2.6023312558741094
poids(multiprogramming,46) = 1.6458302611150684
poids(stretch,46) = 3.1364416744988124
poids(feasibility,46) = 1.8352308358040665
poids(considerations,46) = 1.734887503916073
poids(tendency,46) = 2.0095237508975123
poids(towards,46) = 1.9091804190095187
poids(increased,46) = 1.7146548904648689
poids(parallelism,46) = 2.8183608380190375
poids(computers,46) = 1.4791688818886795
poids(noted,46) = 1.767190841585425
poids(exploitation,46) = 2.1685641691374
poids(presents,46) = 1.547456549097248
poids(number,46) = 1.3381102711926425
poids(new,46) = 1.3904129187537564
poids(problems,46) = 1.3857958814546798
poids(machine,46) = 1.4432004161188394
poids(design,46) = 1.4267944085621123
poids(programming,46) = 1.3247378634566482
poids(systems,46) = 1.3344217958092557
poids(minimum,46) = 1.596563054592467
poids(requirements,46) = 2.1070629782652954
poids(successful,46) = 1.8088370871215251
poids(concurrent,46) = 1.776533749452173
poids(execution,46) = 1.547456549097248
poids(several,46) = 1.4311683010027474
poids(independent,46) = 1.5807548379497542
poids(problem,46) = 1.6935397706425213
poids(programs,46) = 2.092392743330948
poids(discussed,46) = 1.3538825704980413
poids(met,46) = 1.9678775053614124
poids(system,46) = 1.5343613270482672
poids(carefully,46) = 1.886864822465981
poids(balanced,46) = 1.7865214905779871
poids(combination,46) = 1.6861781586899935
poids(built,46) = 1.734887503916073
poids(programmed,46) = 2.3336950193948627
poids(logic,46) = 2.3428872090519515
poids(techniques,46) = 1.4136248948008878
poids(described,46) = 1.301573203908484
poids(place,46) = 1.8088370871215251
poids(burden,46) = 2.068220837249406
poids(supervisory,46) = 1.9355741676920604
poids(program,46) = 1.3090177658147093
poids(compiler,46) = 1.527137740450106
poids(rather,46) = 1.585834826802
poids(russian,47) = 4.5056925074122
poids(visit,47) = 3.9036325160842376
poids(u,47) = 3.359564471733962
poids(computers,47) = 2.4375066456660384
poids(shift,48) = 2.0910165028114225
poids(register,48) = 1.9566996620421453
poids(code,48) = 2.5325646538125013
poids(indexing,48) = 1.2329601248356519
poids(applications,48) = 1.147226875192525
poids(communication,48) = 1.37648864340286
poids(use,48) = 1.0961624463061925
poids(n,48) = 1.1405321962294637
poids(10,48) = 1.4287929342789214
poids(described,48) = 1.090471961172545
poids(calling,48) = 1.2727541257028556
poids(64,48) = 1.492859964450795
poids(wireless,48) = 1.35056925074122
poids(telemetering,48) = 1.70113850148244
poids(stations,48) = 1.2806722503076182
poids(fixed,48) = 1.178141663781141
poids(cyclical,48) = 1.320466251174822
poids(order,48) = 1.138511857620635
poids(high,48) = 1.159720748853355
poids(degree,48) = 1.1892908650692464
poids(redundancy,48) = 1.2464299822253975
poids(used,48) = 1.098324827390588
poids(permitting,48) = 1.25056925074122
poids(single,48) = 1.1642369647291744
poids(error,48) = 1.2897575312151455
poids(correcting,48) = 1.2903632516084238
poids(minimum,48) = 1.1789689163777402
poids(distance,48) = 1.25056925074122
poids(three,48) = 1.1456474484742019
poids(bit,48) = 1.18824432170143
poids(words,48) = 1.1862239830926014
poids(employed,48) = 1.6129883528539732
poids(station,48) = 2.0517077522236598
poids(identification,48) = 1.2301572524756275
poids(embedding,48) = 1.2806722503076182
poids(period,48) = 1.2301572524756275
poids(1023,48) = 1.35056925074122
poids(permits,48) = 1.1798122331314265
poids(without,48) = 1.1591878655028482
poids(punctuation,48) = 1.35056925074122
poids(receivers,48) = 1.320466251174822
poids(simply,48) = 1.2329601248356519
poids(putting,48) = 1.3028571252692538
poids(received,48) = 1.25056925074122
poids(ones,48) = 1.2204662511748219
poids(zeros,48) = 1.2391749155105363
poids(time,48) = 1.0922493733443577
poids(given,48) = 1.095059805883388
poids(combination,48) = 1.205853447606998
poids(arises,48) = 1.2727541257028556
poids(identifying,48) = 1.2602602520420256
poids(particular,48) = 1.292859964450795
poids(barring,48) = 1.35056925074122
poids(tuitous,48) = 1.35056925074122
poids(combinations,48) = 1.2125481265700595
poids(low,48) = 1.1961624463061924
poids(probability,48) = 1.2014330813577927
poids(called,48) = 1.1591878655028482
poids(describes,48) = 1.1546651115091107
poids(properties,48) = 1.1654434158693125
poids(application,48) = 1.1415787395972803
poids(detail,48) = 1.1862239830926014
poids(finding,48) = 1.1798122331314265
poids(example,48) = 1.1537209558858266
poids(ural,48) = 1.320466251174822
poids(soviet,48) = 1.2806722503076182
poids(built,48) = 1.2204662511748219
poids(drum,48) = 1.222693890645937
poids(computer,48) = 1.0729718176282832
poids(donated,48) = 1.35056925074122
poids(indian,48) = 1.35056925074122
poids(statistical,48) = 1.1892908650692464
poids(institute,48) = 1.2727541257028556
poids(united,48) = 1.25056925074122
poids(nations,48) = 1.35056925074122
poids(technical,48) = 1.222693890645937
poids(aid,48) = 1.1937490783345206
poids(administration,48) = 1.25056925074122
poids(untaa,48) = 1.35056925074122
poids(scientific,49) = 3.143964671394607
poids(business,49) = 3.1077524987401626
poids(applications,49) = 2.4722687519252506
poids(oracle,49) = 4.204662511748219
poids(curve,49) = 2.914627900385701
poids(plotter,49) = 3.5056925074122
poids(statistical,50) = 2.8929086506924646
poids(programs,50) = 2.092392743330948
poids(ibm,50) = 2.5279689021233525
poids(650,50) = 3.660594467397943
poids(part,50) = 2.5612098352620314
poids(ii,50) = 2.8067225030761813
poids(construction,51) = 2.7575044804059994
poids(micro,51) = 4.0285712526925375
poids(flowcharts,51) = 3.3296012483565187
poids(efficient,52) = 2.3785877090473924
poids(method,52) = 1.914627900385701
poids(generating,52) = 2.765329817917956
poids(uniformly,52) = 3.6026025204202563
poids(distributed,52) = 3.163269826589994
poids(points,52) = 2.7422645138492627
poids(surface,52) = 3.090719159441382
poids(n,52) = 2.405321962294637
poids(dimensional,52) = 2.852479993636856
poids(sphere,52) = 3.9036325160842376
poids(corrigendum,52) = 2.9742135903699447
poids(recommendations,53) = 3.301572524756275
poids(share,53) = 3.359564471733962
poids(algol,53) = 2.408782494404144
poids(committee,53) = 3.183473212678281
poids(sale,54) = 4.5056925074122
poids(simple,54) = 2.3070354204577774
poids(algebraic,54) = 2.8335946494764825
poids(language,54) = 2.0242498789098953
poids(engineers,54) = 4.5056925074122
poids(algebraic,55) = 2.8335946494764825
poids(translator,55) = 3.125481265700594
poids(proposed,56) = 2.3534041630291433
poids(standard,56) = 2.426511261364575
poids(flow,56) = 3.0585344760699806
poids(chart,56) = 3.727541257028556
poids(symbols,56) = 3.0143308135779274
poids(j,57) = 3.359564471733962
poids(e,57) = 2.6796177047113736
poids(computer,57) = 1.729718176282831
poids(center,57) = 3.125481265700594
poids(lem,58) = 2.7528462537061
poids(1,58) = 1.6677153960086213
poids(small,58) = 1.7806049176310157
poids(size,58) = 1.7757249989864377
poids(general,58) = 2.147757660411746
poids(purpose,58) = 2.4763087297269903
poids(digital,58) = 2.5056925074122
poids(computer,58) = 1.729718176282831
poids(using,58) = 2.0647834253469823
poids(magnetic,58) = 3.183473212678281
poids(ferrite,58) = 4.204662511748219
poids(elements,58) = 2.824451270036613
poids(paper,58) = 1.4336016252287813
poids(examines,58) = 2.232149911126988
poids(questions,58) = 2.0371643716266066
poids(development,58) = 1.7709523400333222
poids(construction,58) = 1.8787522402029997
poids(contactless,58) = 2.7528462537061
poids(capacitive,58) = 4.5056925074122
poids(dezu,58) = 2.7528462537061
poids(long,58) = 2.0142856263462687
poids(duration,58) = 2.6023312558741094
poids(memory,58) = 1.6829067105054818
poids(developed,58) = 1.6507862623781375
poids(laboratory,58) = 2.1252100011544472
poids(electrical,58) = 2.5142856263462687
poids(modeling,58) = 2.232149911126988
poids(vinityi,58) = 2.7528462537061
poids(sssr,58) = 2.7528462537061
poids(supervision,58) = 2.6023312558741094
poids(professor,58) = 2.6023312558741094
poids(l,58) = 2.1648006241782594
poids(gutenmacher,58) = 2.7528462537061
poids(survey,59) = 3.0285712526925375
poids(progress,59) = 3.359564471733962
poids(trend,59) = 3.9036325160842376
poids(development,59) = 2.5419046800666445
poids(use,59) = 1.9616244630619244
poids(automatic,59) = 2.464299822253975
poids(data,59) = 1.9410264431601107
poids(processing,59) = 2.198196469498987
poids(business,59) = 3.1077524987401626
poids(management,59) = 2.824451270036613
poids(control,59) = 2.3851185762063505
poids(systems,59) = 2.0032653874277675
poids(federal,59) = 4.0285712526925375
poids(government,59) = 3.464299822253975
poids(december,59) = 3.8067225030761813
poids(1957,59) = 4.0285712526925375
poids(iii,59) = 3.359564471733962
poids(alpha,60) = 4.0285712526925375
poids(vector,60) = 3.275243586033926
poids(transformation,60) = 3.0285712526925375
poids(system,60) = 1.8015419905724008
poids(linear,60) = 2.3984825377643317
poids(constraints,60) = 2.949390006644913
poids(ibm,61) = 2.5279689021233525
poids(709,61) = 4.0285712526925375
poids(tape,61) = 2.798122331314264
poids(matrix,61) = 2.362677707158105
poids(compiler,61) = 2.5814132213503185
poids(multi,62) = 3.183473212678281
poids(dimensional,62) = 2.852479993636856
poids(least,62) = 2.699512533428313
poids(squares,62) = 2.8929086506924646
poids(polynomial,62) = 2.6483600109809315
poids(curve,62) = 2.914627900385701
poids(fitting,62) = 3.0285712526925375
poids(octal,63) = 4.0285712526925375
poids(diagrams,63) = 3.5514499979728753
poids(binary,63) = 2.6544341586931246
poids(conception,63) = 3.1364416744988124
poids(applicability,63) = 2.553067498904346
poids(computer,63) = 1.486478784188554
poids(design,63) = 1.8535888171242247
poids(logic,63) = 2.3428872090519515
poids(paper,63) = 1.2890677501525207
poids(dates,63) = 2.1685641691374
poids(back,63) = 1.8675341734734188
poids(genesis,63) = 2.1685641691374
poids(circa,63) = 2.068220837249406
poids(5000,63) = 2.0095237508975123
poids(years,63) = 2.248149367888409
poids(ago,63) = 3.0190475017950247
poids(4800,63) = 2.1685641691374
poids(derived,63) = 1.562049523956777
poids(chinese,63) = 1.9678775053614124
poids(ancients,63) = 2.1685641691374
poids(analyzes,63) = 1.9091804190095187
poids(trinities,63) = 2.1685641691374
poids(modern,63) = 1.8675341734734188
poids(electronic,63) = 1.8088370871215251
poids(digital,63) = 1.5018975024707333
poids(remarks,64) = 3.204662511748219
poids(algol,64) = 2.408782494404144
poids(symbol,64) = 2.9616244630619244
poids(manipulation,64) = 2.642369647291744
poids(algol,65) = 2.408782494404144
poids(sub,65) = 4.0285712526925375
poids(committee,65) = 3.183473212678281
poids(report,65) = 2.699512533428313
poids(extensions,65) = 3.1077524987401626
poids(proposal,66) = 3.250420002308894
poids(generalized,66) = 2.92590891079539
poids(card,66) = 3.5514499979728753
poids(code,66) = 2.5325646538125013
poids(256,66) = 4.0285712526925375
poids(characters,66) = 2.937490783345205
poids(central,67) = 3.090719159441382
poids(european,67) = 4.0285712526925375
poids(computers,67) = 2.4375066456660384
poids(role,68) = 1.4500840004617788
poids(university,68) = 2.8722240518326134
poids(computers,68) = 1.862503987399623
poids(data,68) = 1.3764105772640443
poids(processing,68) = 1.4792785877995949
poids(related,68) = 2.1233344310995683
poids(fields,68) = 2.3651461516203556
poids(study,68) = 1.3162826442700637
poids(made,68) = 1.2783498310210728
poids(programs,68) = 1.2184785486661895
poids(united,68) = 1.50113850148244
poids(states,68) = 1.4453877812918743
poids(operations,68) = 1.2875013291332076
poids(research,68) = 1.3469680991540112
poids(closely,68) = 1.5321188934795886
poids(policies,68) = 1.5205205040840513
poids(organization,68) = 1.3372297143740663
poids(administration,68) = 1.50113850148244
poids(faculties,68) = 1.640932502349644
poids(students,68) = 1.4409325023496438
poids(researches,68) = 1.70113850148244
poids(curricula,68) = 1.5455082514057112
poids(equipment,68) = 1.4326539653179988
poids(financing,68) = 1.70113850148244
poids(investigated,68) = 1.4659202496713037
poids(integrated,68) = 1.4853022522729151
poids(program,68) = 1.1854106594888256
poids(recommended,68) = 2.02057999918915
poids(reflecting,68) = 1.5807265032168476
poids(conviction,68) = 1.70113850148244
poids(many,68) = 1.2670861584034485
poids(present,68) = 1.322719580944344
poids(activities,68) = 1.4148657486506426
poids(develop,68) = 1.460314504951255
poids(disciplines,68) = 1.5455082514057112
poids(legitimate,68) = 1.70113850148244
poids(province,68) = 1.70113850148244
poids(scholar,68) = 1.70113850148244
poids(details,68) = 1.4250962531401188
poids(graduate,68) = 1.4550487172067852
poids(school,68) = 1.4783498310210725
poids(computer,68) = 1.1459436352565662
poids(sciences,68) = 1.50113850148244
poids(given,68) = 1.1901196117667763
poids(statistical,69) = 2.8929086506924646
poids(programs,69) = 2.092392743330948
poids(ibm,69) = 2.5279689021233525
poids(650,69) = 3.660594467397943
poids(part,69) = 1.7806049176310157
poids(collection,69) = 1.962954455397695
poids(given,69) = 1.4752990294169406
poids(brief,69) = 2.0719823356973035
poids(descriptions,69) = 2.1023312558741094
poids(use,69) = 1.4808122315309622
poids(university,69) = 1.9361120259163067
poids(computing,69) = 1.742251604171131
poids(centers,69) = 2.363770628514278
poids(construction,70) = 1.8787522402029997
poids(set,70) = 2.1692327735636705
poids(test,70) = 2.6026025204202563
poids(matrices,70) = 2.7063519579586184
poids(paper,70) = 1.4336016252287813
poids(develops,70) = 2.275724998986438
poids(equations,70) = 1.7401933210737148
poids(properties,70) = 1.8272170793465623
poids(useful,70) = 1.8334217083374722
poids(determination,70) = 2.0142856263462687
poids(accuracy,70) = 1.9518162580421188
poids(routines,70) = 1.9871067951849724
poids(finding,70) = 1.899061165657132
poids(inverse,70) = 2.0371643716266066
poids(determinant,70) = 2.137621793016963
poids(eigenvalues,70) = 2.0917366063391407
poids(matrix,70) = 1.6813388535790526
poids(proposal,71) = 1.3750700003848157
poids(feasible,71) = 1.3835954207927124
poids(programming,71) = 1.4871067951849724
poids(system,71) = 1.2671806635241336
poids(paper,71) = 1.1445338750762604
poids(proposes,71) = 1.4434324112329904
poids(designing,71) = 1.3986248591842272
poids(facility,71) = 2.0292672380349903
poids(involving,71) = 1.3154847751154106
poids(digital,71) = 1.2509487512353665
poids(computer,71) = 1.3648590881414155
poids(program,71) = 1.9270532974441277
poids(assist,71) = 1.4176154179020333
poids(preparation,71) = 1.3792072643389877
poids(large,71) = 1.4208848195753019
poids(scale,71) = 1.3248983344408187
poids(real,71) = 1.253903545728772
poids(time,71) = 1.1537489555739295
poids(programs,71) = 1.3641309144436493
poids(capable,71) = 1.3750700003848157
poids(preparing,71) = 1.534110418624703
poids(variety,71) = 1.2982815272962336
poids(machines,71) = 1.3172720860140394
poids(characteristics,71) = 1.5556144722249816
poids(similar,71) = 1.2843919929931031
poids(one,71) = 1.3418951881516832
poids(basic,71) = 1.250228522271593
poids(assumptions,71) = 1.4044185435607626
poids(enough,71) = 1.3792072643389877
poids(random,71) = 1.262712263616318
poids(access,71) = 1.2843919929931031
poids(storage,71) = 1.198287026992547
poids(available,71) = 1.2618656760281053
poids(avoid,71) = 1.4044185435607626
poids(necessity,71) = 1.4434324112329904
poids(segmenting,71) = 1.5842820845687
poids(constructed,71) = 1.3248983344408187
poids(fashion,71) = 1.4434324112329904
poids(trivial,71) = 1.4839387526807062
poids(assumption,71) = 1.3792072643389877
poids(somewhat,71) = 1.4044185435607626
poids(unrealistic,71) = 1.5842820845687
poids(intended,71) = 1.3542468776167658
poids(provide,71) = 1.2689329841202865
poids(opportunity,71) = 1.4545902095047594
poids(concentrate,71) = 1.534110418624703
poids(aspects,71) = 1.3011204171793636
poids(construction,71) = 1.292917413401
poids(stress,71) = 1.5047618754487562
poids(discovery,71) = 1.5047618754487562
poids(source,71) = 1.3011204171793636
poids(statements,71) = 1.2879235428380928
poids(many,71) = 1.2225717986695404
poids(errors,71) = 1.2843919929931031
poids(possible,71) = 1.2365554461229087
poids(attempting,71) = 1.46778708384603
poids(construct,71) = 1.3639122021130468
poids(object,71) = 1.3025827378972812
poids(among,71) = 1.3055991082460805
poids(advocated,71) = 1.5047618754487562
poids(interrupt,71) = 1.4337670867367094
poids(scheme,71) = 1.2708131525219013
poids(set,71) = 1.1948721289272783
poids(characters,71) = 1.3229151305575342
poids(indirect,71) = 1.4434324112329904
poids(addressing,71) = 1.3573274452324344
poids(educational,72) = 3.3296012483565187
poids(program,72) = 1.9270532974441277
poids(computing,72) = 2.484503208342262
