(preliminary,1) -> 3.204662511748219
(technique,15) -> 2.226938906459371
(secant,16) -> 4.204662511748219
(modification,16) -> 3.090719159441382
(newton,16) -> 3.143964671394607
(method,16) -> 1.914627900385701
(programming,17) -> 1.974213590369945
(arithmetic,17) -> 2.6135979047217197
(operations,17) -> 2.4375066456660384
(simple,18) -> 2.3070354204577774
(automatic,18) -> 2.464299822253975
(coding,18) -> 2.8929086506924646
(systems,18) -> 2.0032653874277675
(glossary,19) -> 3.660594467397943
(computer,19) -> 1.729718176282831
(engineering,19) -> 3.183473212678281
(programming,19) -> 1.974213590369945
(terminology,19) -> 3.250420002308894
(accelerating,20) -> 1.9678775053614124
(convergence,20) -> 3.183473212678281
(iterative,20) -> 2.372356317379987
(processes,20) -> 1.547456549097248
(technique,20) -> 1.408979635486457
(discussed,20) -> 1.3538825704980413
(applied,20) -> 1.5018975024707333
(procedure,20) -> 1.4481081683924084
(solution,20) -> 1.428528139790715
(equation,20) -> 1.5832725505799028
(accelerates,20) -> 2.1685641691374
(rate,20) -> 1.6914429144177374
(iteration,20) -> 2.4169875104670626
(converges,20) -> 1.9091804190095187
(induces,20) -> 2.0095237508975123
(diverges,20) -> 2.068220837249406
(illustrative,20) -> 1.8352308358040665
(example,20) -> 1.5124031862860883
(given,20) -> 1.3168660196112936
(algebraic,21) -> 2.8335946494764825
(formulation,21) -> 3.359564471733962
(flow,21) -> 3.0585344760699806
(diagrams,21) -> 3.5514499979728753
(unusual,22) -> 3.6026025204202563
(applications,22) -> 2.4722687519252506
(department,22) -> 3.4265112613645754
(automatic,22) -> 2.464299822253975
(implementation,22) -> 2.3354307920172426
(computer,22) -> 1.729718176282831
(logic,22) -> 3.0143308135779274
(binary,23) -> 2.6544341586931246
(truth,23) -> 4.0285712526925375
(function,23) -> 2.217890777481974
(operations,23) -> 2.4375066456660384
(decimal,23) -> 3.226938906459371
(computer,23) -> 1.729718176282831
(extract,23) -> 3.8067225030761813
(command,23) -> 3.163269826589994
(improved,24) -> 2.937490783345205
(decimal,24) -> 3.226938906459371
(redundancy,24) -> 3.464299822253975
(check,24) -> 3.5056925074122
(general,25) -> 2.147757660411746
(purpose,25) -> 2.4763087297269903
(programming,25) -> 1.974213590369945
(systems,25) -> 2.0032653874277675
(subroutine,26) -> 3.143964671394607
(method,26) -> 1.914627900385701
(calculating,26) -> 3.464299822253975
(logarithms,26) -> 4.5056925074122
(note,27) -> 2.6135979047217197
(empirical,27) -> 2.9616244630619244
(bounds,27) -> 3.125481265700594
(generating,27) -> 2.765329817917956
(bessel,27) -> 3.226938906459371
(functions,27) -> 2.3354307920172426
(request,28) -> 3.250420002308894
(methods,28) -> 2.250420002308894
(programs,28) -> 2.092392743330948
(need,29) -> 2.6796177047113736
(algorithm,29) -> 1.4286881806188498
(algorithm,30) -> 1.4286881806188498
(analyzing,30) -> 3.226938906459371
(logical,30) -> 2.798122331314264
(statements,30) -> 2.727541257028556
(produce,30) -> 2.8429346757306257
(truth,30) -> 4.0285712526925375
(function,30) -> 2.217890777481974
(table,30) -> 2.6861485718703313
(ibm,31) -> 2.5279689021233525
(704,31) -> 4.0285712526925375
(code,31) -> 2.5325646538125013
(nundrums,31) -> 4.5056925074122
(variable,32) -> 2.7063519579586184
(width,32) -> 4.0285712526925375
(tables,32) -> 2.713300817913946
(binary,32) -> 2.6544341586931246
(search,32) -> 2.6192017822397182
(facility,32) -> 3.0585344760699806
(programmed,33) -> 3.0005425290922942
(binary,33) -> 2.6544341586931246
(counter,33) -> 3.727541257028556
(ibm,33) -> 2.5279689021233525
(type,33) -> 2.6135979047217197
(650,33) -> 3.660594467397943
(calculator,33) -> 4.5056925074122
(tables,34) -> 2.713300817913946
(automatic,34) -> 2.464299822253975
(computation,34) -> 2.45261406392878
(machine,35) -> 2.3296012483565187
(method,35) -> 1.914627900385701
(square,35) -> 2.914627900385701
(root,35) -> 3.1077524987401626
(computation,35) -> 2.45261406392878
(queue,36) -> 3.5056925074122
(network,36) -> 2.815496427383686
(simulator,36) -> 3.660594467397943
(ibm,36) -> 2.5279689021233525
(650,36) -> 3.660594467397943
(burroughs,36) -> 3.660594467397943
(220,36) -> 4.0285712526925375
(impact,37) -> 3.250420002308894
(computer,37) -> 1.729718176282831
(developments,37) -> 3.226938906459371
(proposed,38) -> 2.3534041630291433
(interpretation,38) -> 3.4265112613645754
(algol,38) -> 2.408782494404144
(secant,39) -> 4.204662511748219
(method,39) -> 1.914627900385701
(simultaneous,39) -> 3.125481265700594
(nonlinear,39) -> 2.0216472547566218
(equations,39) -> 2.4803866421474297
(procedure,39) -> 1.6721622525886126
(solution,39) -> 1.6427922096860725
(system,39) -> 1.4007709952862004
(necessarily,39) -> 2.1958745775526816
(linear,39) -> 1.6992412688821659
(generalization,39) -> 2.0538762493700813
(single,39) -> 1.821184823645872
(function,39) -> 1.608945388740987
(one,39) -> 1.5128427822275246
(variable,39) -> 1.8531759789793092
(given,39) -> 1.4752990294169406
(fingers,40) -> 1.3186993188556546
(fists,40) -> 1.3186993188556546
(choice,40) -> 1.1844155684265942
(decimal,40) -> 2.8220409234667585
(binary,40) -> 2.6544341586931246
(representation,40) -> 1.2933814372221308
(number,40) -> 1.092211892143448
(system,40) -> 1.0728674536884002
(offers,40) -> 1.231949999815716
(many,40) -> 1.1214027992742948
(advantages,40) -> 1.1675395159755115
(high,40) -> 1.1452006807757773
(performance,40) -> 1.2753575330399465
(general,40) -> 1.104341605491977
(purpose,40) -> 1.1342098845206354
(computer,40) -> 1.1990140480771356
(greater,40) -> 1.383227727043666
(simplicity,40) -> 1.2145058610667239
(arithmetic,40) -> 1.4400721558331964
(unit,40) -> 1.1966608933263632
(compactness,40) -> 1.2913329556134745
(numbers,40) -> 1.3090022788051479
(contribute,40) -> 1.2639665923712944
(directly,40) -> 1.1740570818532456
(speed,40) -> 1.1557546198103588
(less,40) -> 1.3253980297777093
(obvious,40) -> 1.2277902279465636
(perhaps,40) -> 1.241872224308904
(important,40) -> 1.1466907186110655
(way,40) -> 1.1493063315719767
(addressing,40) -> 1.389811758435383
(instruction,40) -> 1.348114163706491
(formats,40) -> 1.4959165921870103
(increase,40) -> 1.1871394978245438
(overall,40) -> 1.1966608933263632
(addresses,40) -> 1.2240272565685433
(also,40) -> 1.1036549565928455
(essential,40) -> 1.4008477294087671
(certain,40) -> 1.1235967701576328
(powerful,40) -> 1.1831209830525389
(operations,40) -> 1.130682422333276
(practical,40) -> 1.152692518610125
(hand,40) -> 1.193225569609145
(communicating,40) -> 1.2240272565685433
(man,40) -> 1.1871394978245438
(applications,40) -> 1.1338426138113864
(requiring,40) -> 1.2004238647043834
(processing,40) -> 1.1089269517726352
(large,40) -> 1.1147867689750823
(volume,40) -> 1.2277902279465636
(inherently,40) -> 1.2551565911887437
(input,40) -> 1.126522650464124
(output,40) -> 1.1397463235325695
(data,40) -> 1.171095716938202
(time,40) -> 1.1677261333533777
(conversion,40) -> 1.3300902595243067
(needed,40) -> 1.169294530084183
(purely,40) -> 1.241872224308904
(may,40) -> 1.219823148572849
(significant,40) -> 1.1597731345823636
(slower,40) -> 1.231949999815716
(adder,40) -> 1.5506493186713706
(take,40) -> 1.1871394978245438
(fast,40) -> 1.1557546198103588
(addition,40) -> 1.1577127723427323
(two,40) -> 1.0960896534097382
(conversions,40) -> 1.2479582960935052
(careful,40) -> 1.2551565911887437
(review,40) -> 1.2277902279465636
(significance,40) -> 1.231949999815716
(supplemented,40) -> 1.2753246593356853
(efficient,40) -> 1.1253261553679448
(instructions,40) -> 1.1772172733313557
(notes,41) -> 3.8067225030761813
(computer,41) -> 1.729718176282831
(research,41) -> 2.734840495770056
(eastern,41) -> 4.204662511748219
(europe,41) -> 4.0285712526925375
(new,42) -> 2.1712387562612694
(method,42) -> 1.914627900385701
(computation,42) -> 2.45261406392878
(square,42) -> 2.914627900385701
(roots,42) -> 3.0285712526925375
(without,42) -> 2.5918786550284834
(using,42) -> 2.0647834253469823
(division,42) -> 2.9742135903699447
(technique,43) -> 2.226938906459371
(handling,43) -> 2.9036325160842376
(macro,43) -> 3.204662511748219
(instructions,43) -> 2.949390006644913
(runcible,44) -> 4.5056925074122
(algebraic,44) -> 2.8335946494764825
(translation,44) -> 2.9616244630619244
(limited,44) -> 2.7896891637774006
(computer,44) -> 1.729718176282831
(flow,45) -> 3.0585344760699806
(outlining,45) -> 2.6023312558741094
(substitute,45) -> 2.6023312558741094
(charting,45) -> 2.6023312558741094
(multiprogramming,46) -> 1.6458302611150684
(stretch,46) -> 3.1364416744988124
(feasibility,46) -> 1.8352308358040665
(considerations,46) -> 1.734887503916073
(tendency,46) -> 2.0095237508975123
(towards,46) -> 1.9091804190095187
(increased,46) -> 1.7146548904648689
(parallelism,46) -> 2.8183608380190375
(computers,46) -> 1.4791688818886795
(noted,46) -> 1.767190841585425
(exploitation,46) -> 2.1685641691374
(presents,46) -> 1.547456549097248
(number,46) -> 1.3381102711926425
(new,46) -> 1.3904129187537564
(problems,46) -> 1.3857958814546798
(machine,46) -> 1.4432004161188394
(design,46) -> 1.4267944085621123
(programming,46) -> 1.3247378634566482
(systems,46) -> 1.3344217958092557
(minimum,46) -> 1.596563054592467
(requirements,46) -> 2.1070629782652954
(successful,46) -> 1.8088370871215251
(concurrent,46) -> 1.776533749452173
(execution,46) -> 1.547456549097248
(several,46) -> 1.4311683010027474
(independent,46) -> 1.5807548379497542
(problem,46) -> 1.6935397706425213
(programs,46) -> 2.092392743330948
(discussed,46) -> 1.3538825704980413
(met,46) -> 1.9678775053614124
(system,46) -> 1.5343613270482672
(carefully,46) -> 1.886864822465981
(balanced,46) -> 1.7865214905779871
(combination,46) -> 1.6861781586899935
(built,46) -> 1.734887503916073
(programmed,46) -> 2.3336950193948627
(logic,46) -> 2.3428872090519515
(techniques,46) -> 1.4136248948008878
(described,46) -> 1.301573203908484
(place,46) -> 1.8088370871215251
(burden,46) -> 2.068220837249406
(supervisory,46) -> 1.9355741676920604
(program,46) -> 1.3090177658147093
(compiler,46) -> 1.527137740450106
(rather,46) -> 1.585834826802
(russian,47) -> 4.5056925074122
(visit,47) -> 3.9036325160842376
(u,47) -> 3.359564471733962
(computers,47) -> 2.4375066456660384
(shift,48) -> 2.0910165028114225
(register,48) -> 1.9566996620421453
(code,48) -> 2.5325646538125013
(indexing,48) -> 1.2329601248356519
(applications,48) -> 1.147226875192525
(communication,48) -> 1.37648864340286
(use,48) -> 1.0961624463061925
(n,48) -> 1.1405321962294637
(10,48) -> 1.4287929342789214
(described,48) -> 1.090471961172545
(calling,48) -> 1.2727541257028556
(64,48) -> 1.492859964450795
(wireless,48) -> 1.35056925074122
(telemetering,48) -> 1.70113850148244
(stations,48) -> 1.2806722503076182
(fixed,48) -> 1.178141663781141
(cyclical,48) -> 1.320466251174822
(order,48) -> 1.138511857620635
(high,48) -> 1.159720748853355
(degree,48) -> 1.1892908650692464
(redundancy,48) -> 1.2464299822253975
(used,48) -> 1.098324827390588
(permitting,48) -> 1.25056925074122
(single,48) -> 1.1642369647291744
(error,48) -> 1.2897575312151455
(correcting,48) -> 1.2903632516084238
(minimum,48) -> 1.1789689163777402
(distance,48) -> 1.25056925074122
(three,48) -> 1.1456474484742019
(bit,48) -> 1.18824432170143
(words,48) -> 1.1862239830926014
(employed,48) -> 1.6129883528539732
(station,48) -> 2.0517077522236598
(identification,48) -> 1.2301572524756275
(embedding,48) -> 1.2806722503076182
(period,48) -> 1.2301572524756275
(1023,48) -> 1.35056925074122
(permits,48) -> 1.1798122331314265
(without,48) -> 1.1591878655028482
(punctuation,48) -> 1.35056925074122
(receivers,48) -> 1.320466251174822
(simply,48) -> 1.2329601248356519
(putting,48) -> 1.3028571252692538
(received,48) -> 1.25056925074122
(ones,48) -> 1.2204662511748219
(zeros,48) -> 1.2391749155105363
(time,48) -> 1.0922493733443577
(given,48) -> 1.095059805883388
(combination,48) -> 1.205853447606998
(arises,48) -> 1.2727541257028556
(identifying,48) -> 1.2602602520420256
(particular,48) -> 1.292859964450795
(barring,48) -> 1.35056925074122
(tuitous,48) -> 1.35056925074122
(combinations,48) -> 1.2125481265700595
(low,48) -> 1.1961624463061924
(probability,48) -> 1.2014330813577927
(called,48) -> 1.1591878655028482
(describes,48) -> 1.1546651115091107
(properties,48) -> 1.1654434158693125
(application,48) -> 1.1415787395972803
(detail,48) -> 1.1862239830926014
(finding,48) -> 1.1798122331314265
(example,48) -> 1.1537209558858266
(ural,48) -> 1.320466251174822
(soviet,48) -> 1.2806722503076182
(built,48) -> 1.2204662511748219
(drum,48) -> 1.222693890645937
(computer,48) -> 1.0729718176282832
(donated,48) -> 1.35056925074122
(indian,48) -> 1.35056925074122
(statistical,48) -> 1.1892908650692464
(institute,48) -> 1.2727541257028556
(united,48) -> 1.25056925074122
(nations,48) -> 1.35056925074122
(technical,48) -> 1.222693890645937
(aid,48) -> 1.1937490783345206
(administration,48) -> 1.25056925074122
(untaa,48) -> 1.35056925074122
(scientific,49) -> 3.143964671394607
(business,49) -> 3.1077524987401626
(applications,49) -> 2.4722687519252506
(oracle,49) -> 4.204662511748219
(curve,49) -> 2.914627900385701
(plotter,49) -> 3.5056925074122
(statistical,50) -> 2.8929086506924646
(programs,50) -> 2.092392743330948
(ibm,50) -> 2.5279689021233525
(650,50) -> 3.660594467397943
(part,50) -> 2.5612098352620314
(ii,50) -> 2.8067225030761813
(construction,51) -> 2.7575044804059994
(micro,51) -> 4.0285712526925375
(flowcharts,51) -> 3.3296012483565187
(efficient,52) -> 2.3785877090473924
(method,52) -> 1.914627900385701
(generating,52) -> 2.765329817917956
(uniformly,52) -> 3.6026025204202563
(distributed,52) -> 3.163269826589994
(points,52) -> 2.7422645138492627
(surface,52) -> 3.090719159441382
(n,52) -> 2.405321962294637
(dimensional,52) -> 2.852479993636856
(sphere,52) -> 3.9036325160842376
(corrigendum,52) -> 2.9742135903699447
(recommendations,53) -> 3.301572524756275
(share,53) -> 3.359564471733962
(algol,53) -> 2.408782494404144
(committee,53) -> 3.183473212678281
(sale,54) -> 4.5056925074122
(simple,54) -> 2.3070354204577774
(algebraic,54) -> 2.8335946494764825
(language,54) -> 2.0242498789098953
(engineers,54) -> 4.5056925074122
(algebraic,55) -> 2.8335946494764825
(translator,55) -> 3.125481265700594
(proposed,56) -> 2.3534041630291433
(standard,56) -> 2.426511261364575
(flow,56) -> 3.0585344760699806
(chart,56) -> 3.727541257028556
(symbols,56) -> 3.0143308135779274
(j,57) -> 3.359564471733962
(e,57) -> 2.6796177047113736
(computer,57) -> 1.729718176282831
(center,57) -> 3.125481265700594
(lem,58) -> 2.7528462537061
(1,58) -> 1.6677153960086213
(small,58) -> 1.7806049176310157
(size,58) -> 1.7757249989864377
(general,58) -> 2.147757660411746
(purpose,58) -> 2.4763087297269903
(digital,58) -> 2.5056925074122
(computer,58) -> 1.729718176282831
(using,58) -> 2.0647834253469823
(magnetic,58) -> 3.183473212678281
(ferrite,58) -> 4.204662511748219
(elements,58) -> 2.824451270036613
(paper,58) -> 1.4336016252287813
(examines,58) -> 2.232149911126988
(questions,58) -> 2.0371643716266066
(development,58) -> 1.7709523400333222
(construction,58) -> 1.8787522402029997
(contactless,58) -> 2.7528462537061
(capacitive,58) -> 4.5056925074122
(dezu,58) -> 2.7528462537061
(long,58) -> 2.0142856263462687
(duration,58) -> 2.6023312558741094
(memory,58) -> 1.6829067105054818
(developed,58) -> 1.6507862623781375
(laboratory,58) -> 2.1252100011544472
(electrical,58) -> 2.5142856263462687
(modeling,58) -> 2.232149911126988
(vinityi,58) -> 2.7528462537061
(sssr,58) -> 2.7528462537061
(supervision,58) -> 2.6023312558741094
(professor,58) -> 2.6023312558741094
(l,58) -> 2.1648006241782594
(gutenmacher,58) -> 2.7528462537061
(survey,59) -> 3.0285712526925375
(progress,59) -> 3.359564471733962
(trend,59) -> 3.9036325160842376
(development,59) -> 2.5419046800666445
(use,59) -> 1.9616244630619244
(automatic,59) -> 2.464299822253975
(data,59) -> 1.9410264431601107
(processing,59) -> 2.198196469498987
(business,59) -> 3.1077524987401626
(management,59) -> 2.824451270036613
(control,59) -> 2.3851185762063505
(systems,59) -> 2.0032653874277675
(federal,59) -> 4.0285712526925375
(government,59) -> 3.464299822253975
(december,59) -> 3.8067225030761813
(1957,59) -> 4.0285712526925375
(iii,59) -> 3.359564471733962
(alpha,60) -> 4.0285712526925375
(vector,60) -> 3.275243586033926
(transformation,60) -> 3.0285712526925375
(system,60) -> 1.8015419905724008
(linear,60) -> 2.3984825377643317
(constraints,60) -> 2.949390006644913
(ibm,61) -> 2.5279689021233525
(709,61) -> 4.0285712526925375
(tape,61) -> 2.798122331314264
(matrix,61) -> 2.362677707158105
(compiler,61) -> 2.5814132213503185
(multi,62) -> 3.183473212678281
(dimensional,62) -> 2.852479993636856
(least,62) -> 2.699512533428313
(squares,62) -> 2.8929086506924646
(polynomial,62) -> 2.6483600109809315
(curve,62) -> 2.914627900385701
(fitting,62) -> 3.0285712526925375
(octal,63) -> 4.0285712526925375
(diagrams,63) -> 3.5514499979728753
(binary,63) -> 2.6544341586931246
(conception,63) -> 3.1364416744988124
(applicability,63) -> 2.553067498904346
(computer,63) -> 1.486478784188554
(design,63) -> 1.8535888171242247
(logic,63) -> 2.3428872090519515
(paper,63) -> 1.2890677501525207
(dates,63) -> 2.1685641691374
(back,63) -> 1.8675341734734188
(genesis,63) -> 2.1685641691374
(circa,63) -> 2.068220837249406
(5000,63) -> 2.0095237508975123
(years,63) -> 2.248149367888409
(ago,63) -> 3.0190475017950247
(4800,63) -> 2.1685641691374
(derived,63) -> 1.562049523956777
(chinese,63) -> 1.9678775053614124
(ancients,63) -> 2.1685641691374
(analyzes,63) -> 1.9091804190095187
(trinities,63) -> 2.1685641691374
(modern,63) -> 1.8675341734734188
(electronic,63) -> 1.8088370871215251
(digital,63) -> 1.5018975024707333
(remarks,64) -> 3.204662511748219
(algol,64) -> 2.408782494404144
(symbol,64) -> 2.9616244630619244
(manipulation,64) -> 2.642369647291744
(algol,65) -> 2.408782494404144
(sub,65) -> 4.0285712526925375
(committee,65) -> 3.183473212678281
(report,65) -> 2.699512533428313
(extensions,65) -> 3.1077524987401626
(proposal,66) -> 3.250420002308894
(generalized,66) -> 2.92590891079539
(card,66) -> 3.5514499979728753
(code,66) -> 2.5325646538125013
(256,66) -> 4.0285712526925375
(characters,66) -> 2.937490783345205
(central,67) -> 3.090719159441382
(european,67) -> 4.0285712526925375
(computers,67) -> 2.4375066456660384
(role,68) -> 1.4500840004617788
(university,68) -> 2.8722240518326134
(computers,68) -> 1.862503987399623
(data,68) -> 1.3764105772640443
(processing,68) -> 1.4792785877995949
(related,68) -> 2.1233344310995683
(fields,68) -> 2.3651461516203556
(study,68) -> 1.3162826442700637
(made,68) -> 1.2783498310210728
(programs,68) -> 1.2184785486661895
(united,68) -> 1.50113850148244
(states,68) -> 1.4453877812918743
(operations,68) -> 1.2875013291332076
(research,68) -> 1.3469680991540112
(closely,68) -> 1.5321188934795886
(policies,68) -> 1.5205205040840513
(organization,68) -> 1.3372297143740663
(administration,68) -> 1.50113850148244
(faculties,68) -> 1.640932502349644
(students,68) -> 1.4409325023496438
(researches,68) -> 1.70113850148244
(curricula,68) -> 1.5455082514057112
(equipment,68) -> 1.4326539653179988
(financing,68) -> 1.70113850148244
(investigated,68) -> 1.4659202496713037
(integrated,68) -> 1.4853022522729151
(program,68) -> 1.1854106594888256
(recommended,68) -> 2.02057999918915
(reflecting,68) -> 1.5807265032168476
(conviction,68) -> 1.70113850148244
(many,68) -> 1.2670861584034485
(present,68) -> 1.322719580944344
(activities,68) -> 1.4148657486506426
(develop,68) -> 1.460314504951255
(disciplines,68) -> 1.5455082514057112
(legitimate,68) -> 1.70113850148244
(province,68) -> 1.70113850148244
(scholar,68) -> 1.70113850148244
(details,68) -> 1.4250962531401188
(graduate,68) -> 1.4550487172067852
(school,68) -> 1.4783498310210725
(computer,68) -> 1.1459436352565662
(sciences,68) -> 1.50113850148244
(given,68) -> 1.1901196117667763
(statistical,69) -> 2.8929086506924646
(programs,69) -> 2.092392743330948
(ibm,69) -> 2.5279689021233525
(650,69) -> 3.660594467397943
(part,69) -> 1.7806049176310157
(collection,69) -> 1.962954455397695
(given,69) -> 1.4752990294169406
(brief,69) -> 2.0719823356973035
(descriptions,69) -> 2.1023312558741094
(use,69) -> 1.4808122315309622
(university,69) -> 1.9361120259163067
(computing,69) -> 1.742251604171131
(centers,69) -> 2.363770628514278
(construction,70) -> 1.8787522402029997
(set,70) -> 2.1692327735636705
(test,70) -> 2.6026025204202563
(matrices,70) -> 2.7063519579586184
(paper,70) -> 1.4336016252287813
(develops,70) -> 2.275724998986438
(equations,70) -> 1.7401933210737148
(properties,70) -> 1.8272170793465623
(useful,70) -> 1.8334217083374722
(determination,70) -> 2.0142856263462687
(accuracy,70) -> 1.9518162580421188
(routines,70) -> 1.9871067951849724
(finding,70) -> 1.899061165657132
(inverse,70) -> 2.0371643716266066
(determinant,70) -> 2.137621793016963
(eigenvalues,70) -> 2.0917366063391407
(matrix,70) -> 1.6813388535790526
(proposal,71) -> 1.3750700003848157
(feasible,71) -> 1.3835954207927124
(programming,71) -> 1.4871067951849724
(system,71) -> 1.2671806635241336
(paper,71) -> 1.1445338750762604
(proposes,71) -> 1.4434324112329904
(designing,71) -> 1.3986248591842272
(facility,71) -> 2.0292672380349903
(involving,71) -> 1.3154847751154106
(digital,71) -> 1.2509487512353665
(computer,71) -> 1.3648590881414155
(program,71) -> 1.9270532974441277
(assist,71) -> 1.4176154179020333
(preparation,71) -> 1.3792072643389877
(large,71) -> 1.4208848195753019
(scale,71) -> 1.3248983344408187
(real,71) -> 1.253903545728772
(time,71) -> 1.1537489555739295
(programs,71) -> 1.3641309144436493
(capable,71) -> 1.3750700003848157
(preparing,71) -> 1.534110418624703
(variety,71) -> 1.2982815272962336
(machines,71) -> 1.3172720860140394
(characteristics,71) -> 1.5556144722249816
(similar,71) -> 1.2843919929931031
(one,71) -> 1.3418951881516832
(basic,71) -> 1.250228522271593
(assumptions,71) -> 1.4044185435607626
(enough,71) -> 1.3792072643389877
(random,71) -> 1.262712263616318
(access,71) -> 1.2843919929931031
(storage,71) -> 1.198287026992547
(available,71) -> 1.2618656760281053
(avoid,71) -> 1.4044185435607626
(necessity,71) -> 1.4434324112329904
(segmenting,71) -> 1.5842820845687
(constructed,71) -> 1.3248983344408187
(fashion,71) -> 1.4434324112329904
(trivial,71) -> 1.4839387526807062
(assumption,71) -> 1.3792072643389877
(somewhat,71) -> 1.4044185435607626
(unrealistic,71) -> 1.5842820845687
(intended,71) -> 1.3542468776167658
(provide,71) -> 1.2689329841202865
(opportunity,71) -> 1.4545902095047594
(concentrate,71) -> 1.534110418624703
(aspects,71) -> 1.3011204171793636
(construction,71) -> 1.292917413401
(stress,71) -> 1.5047618754487562
(discovery,71) -> 1.5047618754487562
(source,71) -> 1.3011204171793636
(statements,71) -> 1.2879235428380928
(many,71) -> 1.2225717986695404
(errors,71) -> 1.2843919929931031
(possible,71) -> 1.2365554461229087
(attempting,71) -> 1.46778708384603
(construct,71) -> 1.3639122021130468
(object,71) -> 1.3025827378972812
(among,71) -> 1.3055991082460805
(advocated,71) -> 1.5047618754487562
(interrupt,71) -> 1.4337670867367094
(scheme,71) -> 1.2708131525219013
(set,71) -> 1.1948721289272783
(characters,71) -> 1.3229151305575342
(indirect,71) -> 1.4434324112329904
(addressing,71) -> 1.3573274452324344
(educational,72) -> 3.3296012483565187
(program,72) -> 1.9270532974441277
(computing,72) -> 2.484503208342262
(real,73) -> 2.5234212743726316
(time,73) -> 1.9224937334435772
(data,73) -> 1.9410264431601107
(assimilator,73) -> 4.5056925074122
(high,74) -> 2.5972074885335505
(speed,74) -> 2.713300817913946
(sorting,74) -> 2.8429346757306257
(procedure,74) -> 2.3443245051772252
(parameter,75) -> 3.125481265700594
(estimation,75) -> 3.4265112613645754
(simple,75) -> 2.3070354204577774
(nonlinear,75) -> 3.043294509513244
(models,75) -> 2.8824432170142997
(binary,76) -> 1.8272170793465623
(conversion,76) -> 1.907748213691843
(fixed,76) -> 1.8907083189057055
(decimal,76) -> 3.226938906459371
(precision,76) -> 1.9808122315309622
(fraction,76) -> 2.301301260210128
(gat,77) -> 4.5056925074122
(construction,77) -> 2.7575044804059994
(translators,77) -> 4.204662511748219
(remarks,78) -> 1.4409325023496438
(practical,78) -> 2.007770622826824
(solution,78) -> 1.514233767748858
(characteristic,78) -> 1.9001680009235575
(value,78) -> 2.3489188574962654
(problems,78) -> 2.1573876443640394
(paper,78) -> 1.1734406500915124
(concerned,78) -> 1.4181438318882764
(problem,78) -> 1.2080619311927565
(ordinary,78) -> 1.385181782159078
(differential,78) -> 1.3648902540073227
(equation,78) -> 1.3499635303479418
(apparent,78) -> 1.5807265032168476
(sequential,78) -> 1.4117068952139962
(computers,78) -> 1.2875013291332076
(digital,78) -> 1.30113850148244
(analog,78) -> 1.5613445006152364
(solve,78) -> 1.4086589019026488
(initial,78) -> 1.385181782159078
(rather,78) -> 1.3515008960812
